,name,location,detail,hiring
0,Part-Time Delivery - Uber EatsUber Eats,"Lunenburg, MA",30+ days ago,Actively Hiring
1,Flexible Winter Schedule - Deliver with Uber EatsUber Eats,"Whitinsville, MA",30+ days ago,Actively Hiring
2,Part-Time DeliveryUber Eats,"Barre, MA",30+ days ago,Actively Hiring
3,Deliver with Uber on your scheduleUber Eats,"Rawlins, WY",30+ days ago,Actively Hiring
4,Part-Time Delivery - Uber EatsUber Eats,"Oak Island, NC",30+ days ago,Actively Hiring
5,"Driver - Earn $1250, guaranteed with UberUber","Patterson, IA",30+ days ago,Actively Hiring
6,Deliver Eats with Uber EatsUber Eats,"Worcester, MA",30+ days ago,Actively Hiring
7,Head Of North America MarketingUber,"Chicago, IL",24 days ago,
8,Senior Engineering Manager - Rider PersonalizationUber,"San Francisco, CA",24 days ago,
9,,,,
10,,,,
